PARTCUSTID,PARTCUSTNM,is_sub_warehouse
F710,高都/小港,
F711,高都/九如,
F712,高都/鳳山,
F713,高都/湖內,
F714,高都/北屏東,
F715,高都/青年,
F716,高都/楠梓,
F717,高都/瑞豐,
F718,高都/右昌,
F719,高都/麟洛,
F720,高都/東港,
F721,高都/里港,
F722,高都/鳳林,
F723,高都/麟洛二,
F724,高都/恆春,
F727,高都/三多,
F728,高都/鳳山(鈑),
F729,高都/博愛,
F730,高都/岡山(鈑),
F741,高都/仁武保修,
F742,高都/路竹保修,
F743,高都/援中港保修,
F744,高都/林園保修,
F745,高都/鳳頂保修,
F746,高都/萬丹保修,
F747,高都/興中保修,
F748,高都/左營保修,
F749,高都/鎮海保修,
F74A,高都/仁慈保修,
F74B,高都/大樹保修,
F74C,高都/大社保修,
F74D,高都/美濃保修,
F74E,高都/橋頭保修,
F74F,高都/華夏保修,
F74G,高都/新灣保修,
F74H,高都/枋寮保修,
F74J,高都/澎湖保修,
F74K,高都/正義保修,
F751,高都/九如LS,
F752,高都/民族LS,
F753,高都/建國LS,
F754,高都/屏東LS,
F755,高都/亞灣LS,
F783,高都/精品T,
F785,高都PDS,
F78F,高都PDS,
F798,高都/精品L,
H701,東部/花蓮,
H702,東部/台東,
H704,東部/玉里,
H705,東部/美崙,
H70A,東部精品,
H741,東部/鳳林保修,
H742,東部/卑南保修,
H751,東部/美崙(大),
H752,東部/台東(大),
H754,東部/花蓮LS,
H755,東部/台東LS,
H756,東部/美崙LS,
H791,東部/精品T,
H798,東部/精品L,
G701,蘭揚/羅東,
G702,蘭揚/宜蘭,
G742,蘭揚/頭城保修,
G751,蘭揚/羅東(大),
G752,蘭揚/羅東LS,
G787,蘭揚/精品T,
G798,蘭揚/精品L,
SDTC,台中副倉,Y
SDHN,高雄副倉,Y
