start_time,end_time,floor,obj_id,sx,sy,ex,ey,type,text
2025-07-01 07:27:17,2025-07-01 07:27:18,2F,AGV_2,23,0,23,0,AGV_MOVE,
2025-07-01 07:27:18,2025-07-01 07:27:19,2F,AGV_2,22,0,22,0,AGV_MOVE,
2025-07-01 07:27:19,2025-07-01 07:27:20,2F,AGV_2,21,0,21,0,AGV_MOVE,
2025-07-01 07:27:20,2025-07-01 07:27:21,2F,AGV_2,20,0,20,0,AGV_MOVE,
2025-07-01 07:27:21,2025-07-01 07:27:22,2F,AGV_2,19,0,19,0,AGV_MOVE,
2025-07-01 07:27:22,2025-07-01 07:27:23,2F,AGV_2,18,0,18,0,AGV_MOVE,
2025-07-01 07:27:23,2025-07-01 07:27:24,2F,AGV_2,17,0,17,0,AGV_MOVE,
2025-07-01 07:27:24,2025-07-01 07:27:25,2F,AGV_2,16,0,16,0,AGV_MOVE,
2025-07-01 07:27:25,2025-07-01 07:27:26,2F,AGV_2,15,0,15,0,AGV_MOVE,
2025-07-01 07:27:26,2025-07-01 07:27:27,2F,AGV_2,14,0,14,0,AGV_MOVE,
2025-07-01 07:27:27,2025-07-01 07:27:28,2F,AGV_2,13,0,13,0,AGV_MOVE,
2025-07-01 07:27:28,2025-07-01 07:27:29,2F,AGV_2,12,0,12,0,AGV_MOVE,
2025-07-01 07:27:29,2025-07-01 07:27:30,2F,AGV_2,11,0,11,0,AGV_MOVE,
2025-07-01 07:27:30,2025-07-01 07:27:31,2F,AGV_2,10,0,10,0,AGV_MOVE,
2025-07-01 07:27:31,2025-07-01 07:27:32,2F,AGV_2,9,0,9,0,AGV_MOVE,
2025-07-01 07:27:32,2025-07-01 07:27:33,2F,AGV_2,8,0,8,0,AGV_MOVE,
2025-07-01 07:27:33,2025-07-01 07:27:34,2F,AGV_2,7,0,7,0,AGV_MOVE,
2025-07-01 07:27:34,2025-07-01 07:27:35,2F,AGV_2,7,1,7,1,AGV_MOVE,
2025-07-01 07:27:35,2025-07-01 07:27:36,2F,AGV_2,7,2,7,2,AGV_MOVE,
2025-07-01 07:27:36,2025-07-01 07:27:37,2F,AGV_2,7,3,7,3,AGV_MOVE,
2025-07-01 07:27:37,2025-07-01 07:27:38,2F,AGV_2,7,4,7,4,AGV_MOVE,
2025-07-01 07:27:38,2025-07-01 07:27:39,2F,AGV_2,7,5,7,5,AGV_MOVE,
2025-07-01 07:27:39,2025-07-01 07:27:40,2F,AGV_2,7,6,7,6,AGV_MOVE,
2025-07-01 07:27:40,2025-07-01 07:27:41,2F,AGV_2,7,7,7,7,AGV_MOVE,
2025-07-01 07:27:41,2025-07-01 07:27:42,2F,AGV_2,7,8,7,8,AGV_MOVE,
2025-07-01 07:27:42,2025-07-01 07:27:43,2F,AGV_2,7,9,7,9,AGV_MOVE,
2025-07-01 07:27:43,2025-07-01 07:27:44,2F,AGV_2,7,10,7,10,AGV_MOVE,
2025-07-01 07:27:44,2025-07-01 07:27:45,2F,AGV_2,7,11,7,11,AGV_MOVE,
2025-07-01 07:27:45,2025-07-01 07:27:46,2F,AGV_2,8,11,8,11,AGV_MOVE,
2025-07-01 07:27:46,2025-07-01 07:27:47,2F,AGV_2,9,11,9,11,AGV_MOVE,
2025-07-01 07:27:47,2025-07-01 07:27:48,2F,AGV_2,10,11,10,11,AGV_MOVE,
