finish_time,type,wave_id,is_delayed,date,workstation,total_in_wave,deadline_ts
2025-07-01 00:06:20,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_9,3457,0
2025-07-01 00:03:38,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_5,3457,0
2025-07-01 00:05:59,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_13,3457,0
2025-07-01 00:04:09,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_3,3457,0
2025-07-01 00:04:01,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_4,3457,0
2025-07-01 00:06:56,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_14,3457,0
2025-07-01 00:04:20,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_7,3457,0
2025-07-01 00:05:36,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_11,3457,0
2025-07-01 00:06:25,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_16,3457,0
2025-07-01 00:04:52,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_1,3457,0
2025-07-01 00:06:33,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_15,3457,0
2025-07-01 00:05:12,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_8,3457,0
2025-07-01 00:05:54,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_12,3457,0
2025-07-01 00:04:45,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_6,3457,0
2025-07-01 00:07:01,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_10,3457,0
2025-07-01 00:05:00,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_5,3457,0
2025-07-01 00:07:00,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_11,3457,0
2025-07-01 00:05:27,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_2,3457,0
2025-07-01 00:07:02,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_12,3457,0
2025-07-01 00:06:57,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_13,3457,0
2025-07-01 00:07:47,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_9,3457,0
2025-07-01 00:08:19,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_15,3457,0
2025-07-01 00:04:39,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_4,3457,0
2025-07-01 00:06:52,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_16,3457,0
2025-07-01 00:07:18,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_11,3457,0
2025-07-01 00:07:39,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_14,3457,0
2025-07-01 00:04:56,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_3,3457,0
2025-07-01 00:04:45,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_7,3457,0
